horodatage,media,reussis,echecs
2026-06-08T07:59:10,les_echos,4096,5
2026-06-08T07:59:10,nice_matin,3572,529
2026-06-08T07:59:10,paris_match,3911,190
2026-06-08T07:59:10,telerama,3552,549
2026-06-08T07:59:10,valeurs_actuelles,4100,1
2026-06-08T08:21:05,le_capital,4193,8
2026-06-08T08:21:05,le_figaro,2686,1515
2026-06-08T08:21:05,le_journal_du_dimanche,4159,42
2026-06-08T08:21:05,le_monde,1434,2767
2026-06-08T08:21:05,le_nouvel_observateur,4043,158
2026-06-08T08:21:05,les_echos,4196,5
2026-06-08T08:21:05,nice_matin,3672,529
2026-06-08T08:21:05,paris_match,4004,197
2026-06-08T08:21:05,telerama,3652,549
2026-06-08T08:21:05,valeurs_actuelles,4200,1
2026-06-08T08:46:28,le_capital,4293,8
2026-06-08T08:46:28,le_figaro,2737,1564
2026-06-08T08:46:28,le_journal_du_dimanche,4259,42
2026-06-08T08:46:28,le_monde,1480,2821
2026-06-08T08:46:28,le_nouvel_observateur,4141,160
2026-06-08T08:46:28,les_echos,4296,5
2026-06-08T08:46:28,nice_matin,3771,530
2026-06-08T08:46:28,paris_match,4098,203
2026-06-08T08:46:28,telerama,3752,549
2026-06-08T08:46:28,valeurs_actuelles,4300,1
2026-06-08T09:11:24,le_capital,4393,8
2026-06-08T09:11:24,le_figaro,2794,1607
2026-06-08T09:11:24,le_journal_du_dimanche,4358,43
2026-06-08T09:11:24,le_monde,1512,2889
2026-06-08T09:11:24,le_nouvel_observateur,4240,161
2026-06-08T09:11:24,les_echos,4396,5
2026-06-08T09:11:24,nice_matin,3870,531
2026-06-08T09:11:24,paris_match,4189,212
2026-06-08T09:11:24,telerama,3852,549
2026-06-08T09:11:24,valeurs_actuelles,4400,1
2026-06-08T09:33:14,le_capital,4493,8
2026-06-08T09:33:14,le_figaro,2866,1635
2026-06-08T09:33:14,le_journal_du_dimanche,4457,44
2026-06-08T09:33:14,le_monde,1549,2952
2026-06-08T09:33:14,le_nouvel_observateur,4339,162
2026-06-08T09:33:14,les_echos,4495,6
2026-06-08T09:33:14,nice_matin,3970,531
2026-06-08T09:33:14,paris_match,4278,223
2026-06-08T09:33:14,telerama,3952,549
2026-06-08T09:33:14,valeurs_actuelles,4500,1
2026-06-08T09:54:14,le_capital,4593,8
2026-06-08T09:54:14,le_figaro,2930,1671
2026-06-08T09:54:14,le_journal_du_dimanche,4555,46
2026-06-08T09:54:14,le_monde,1597,3004
2026-06-08T09:54:14,le_nouvel_observateur,4436,165
2026-06-08T09:54:14,les_echos,4595,6
2026-06-08T09:54:14,nice_matin,4070,531
2026-06-08T09:54:14,paris_match,4368,233
2026-06-08T09:54:14,telerama,4052,549
2026-06-08T09:54:14,valeurs_actuelles,4600,1
2026-06-08T10:15:28,le_capital,4693,8
2026-06-08T10:15:28,le_figaro,2987,1714
2026-06-08T10:15:28,le_journal_du_dimanche,4654,47
2026-06-08T10:15:28,le_monde,1639,3062
2026-06-08T10:15:28,le_nouvel_observateur,4531,170
2026-06-08T10:15:28,les_echos,4695,6
2026-06-08T10:15:28,nice_matin,4169,532
2026-06-08T10:15:28,paris_match,4462,239
2026-06-08T10:15:28,telerama,4152,549
2026-06-08T10:15:28,valeurs_actuelles,4700,1
2026-06-08T10:36:48,le_capital,4793,8
2026-06-08T10:36:48,le_figaro,3054,1747
2026-06-08T10:36:48,le_journal_du_dimanche,4753,48
2026-06-08T10:36:48,le_monde,1672,3129
2026-06-08T10:36:48,le_nouvel_observateur,4628,173
2026-06-08T10:36:48,les_echos,4795,6
2026-06-08T10:36:48,nice_matin,4269,532
2026-06-08T10:36:48,paris_match,4553,248
2026-06-08T10:36:48,telerama,4252,549
2026-06-08T10:36:48,valeurs_actuelles,4800,1
2026-06-08T10:57:44,le_capital,4893,8
2026-06-08T10:57:44,le_figaro,3110,1791
2026-06-08T10:57:44,le_journal_du_dimanche,4852,49
2026-06-08T10:57:44,le_monde,1702,3199
2026-06-08T10:57:44,le_nouvel_observateur,4727,174
2026-06-08T10:57:44,les_echos,4895,6
2026-06-08T10:57:44,nice_matin,4369,532
2026-06-08T10:57:44,paris_match,4647,254
2026-06-08T10:57:44,telerama,4352,549
