a,b,lag,pearson,spearman,pearson_seg,spearman_seg,n
ouestfrance,lemonde,-12,0.3670,0.3615,-0.0272,-0.0201,26118
ouestfrance,lemonde,-11,0.3587,0.3761,-0.0165,-0.0056,26118
ouestfrance,lemonde,-10,0.3226,0.3703,-0.0230,-0.0145,26118
ouestfrance,lemonde,-9,0.3610,0.3608,-0.0215,-0.0142,26118
ouestfrance,lemonde,-8,0.3264,0.3650,-0.0121,-0.0123,26118
ouestfrance,lemonde,-7,0.3306,0.3592,0.0042,-0.0017,26118
ouestfrance,lemonde,-6,0.3755,0.3829,0.0096,0.0163,26118
ouestfrance,lemonde,-5,0.3777,0.3874,-0.0163,0.0005,26118
ouestfrance,lemonde,-4,0.3548,0.3924,0.0019,0.0079,26118
ouestfrance,lemonde,-3,0.3161,0.3808,-0.0175,-0.0088,26118
ouestfrance,lemonde,-2,0.3531,0.3959,0.0177,0.0178,26118
ouestfrance,lemonde,-1,0.2599,0.3917,0.0405,0.0400,26118
ouestfrance,lemonde,0,0.2504,0.3519,0.0684,0.0703,26118
ouestfrance,lemonde,1,0.3357,0.4042,0.0989,0.0953,26118
ouestfrance,lemonde,2,0.3158,0.3936,0.0074,0.0183,26118
ouestfrance,lemonde,3,0.3191,0.3914,-0.0087,-0.0010,26118
ouestfrance,lemonde,4,0.3288,0.3913,-0.0129,-0.0050,26118
ouestfrance,lemonde,5,0.3238,0.3850,-0.0167,-0.0107,26118
ouestfrance,lemonde,6,0.2987,0.3828,-0.0152,-0.0153,26118
ouestfrance,lemonde,7,0.2811,0.3682,0.0068,0.0014,26118
ouestfrance,lemonde,8,0.3210,0.3801,-0.0024,0.0015,26118
ouestfrance,lemonde,9,0.3371,0.3800,-0.0163,-0.0112,26118
ouestfrance,lemonde,10,0.3208,0.3639,-0.0286,-0.0157,26118
ouestfrance,lemonde,11,0.3316,0.3768,-0.0092,-0.0029,26118
ouestfrance,lemonde,12,0.3477,0.3682,-0.0205,-0.0139,26118
ouestfrance,lemonde,13,0.3303,0.3552,-0.0300,-0.0272,26118
ouestfrance,lemonde,14,0.3123,0.3468,-0.0199,-0.0253,26118
ouestfrance,lemonde,15,0.3213,0.3580,-0.0353,-0.0268,26118
ouestfrance,lefigaro,-15,0.3245,0.3851,-0.0089,-0.0144,26118
ouestfrance,lefigaro,-14,0.3554,0.4002,-0.0062,-0.0028,26118
ouestfrance,lefigaro,-13,0.3743,0.4143,-0.0049,0.0037,26118
ouestfrance,lefigaro,-12,0.3728,0.4174,-0.0077,-0.0017,26118
ouestfrance,lefigaro,-11,0.3875,0.4130,-0.0135,-0.0075,26118
ouestfrance,lefigaro,-10,0.3724,0.4106,-0.0307,-0.0239,26118
ouestfrance,lefigaro,-9,0.3656,0.4193,-0.0260,-0.0164,26118
ouestfrance,lefigaro,-8,0.3278,0.3993,-0.0096,-0.0151,26118
ouestfrance,lefigaro,-7,0.3599,0.4185,-0.0005,-0.0036,26118
ouestfrance,lefigaro,-6,0.3760,0.4299,-0.0080,-0.0080,26118
ouestfrance,lefigaro,-5,0.3711,0.4266,-0.0173,-0.0072,26118
ouestfrance,lefigaro,-4,0.3607,0.4332,-0.0117,-0.0067,26118
ouestfrance,lefigaro,-3,0.3398,0.4381,0.0034,0.0123,26118
ouestfrance,lefigaro,-2,0.3402,0.4567,0.0334,0.0392,26118
ouestfrance,lefigaro,-1,0.2895,0.4269,0.0484,0.0450,26118
ouestfrance,lefigaro,0,0.2662,0.3784,0.0599,0.0560,26118
ouestfrance,lefigaro,1,0.3414,0.4546,0.0817,0.0787,26118
ouestfrance,lefigaro,2,0.3241,0.4380,-0.0051,0.0069,26118
ouestfrance,lefigaro,3,0.3279,0.4330,0.0002,0.0094,26118
ouestfrance,lefigaro,4,0.3245,0.4355,-0.0076,-0.0041,26118
ouestfrance,lefigaro,5,0.3474,0.4371,-0.0114,-0.0013,26118
ouestfrance,lefigaro,6,0.3006,0.4193,-0.0034,-0.0054,26118
ouestfrance,lefigaro,7,0.3450,0.4277,-0.0023,-0.0024,26118
ouestfrance,lefigaro,8,0.3419,0.4307,-0.0143,-0.0082,26118
ouestfrance,lefigaro,9,0.3354,0.4242,-0.0221,-0.0179,26118
ouestfrance,lefigaro,10,0.3368,0.4219,-0.0250,-0.0187,26118
ouestfrance,lefigaro,11,0.3355,0.4132,-0.0309,-0.0271,26118
ouestfrance,lefigaro,12,0.3363,0.4140,-0.0331,-0.0289,26118
ouestfrance,lefigaro,13,0.2957,0.3936,-0.0287,-0.0317,26118
ouestfrance,lefigaro,14,0.3350,0.4127,-0.0125,-0.0077,26118
ouestfrance,lefigaro,15,0.3462,0.4145,-0.0139,-0.0130,26118
ouestfrance,ouestfrance,-15,0.7535,0.5484,-0.0949,-0.0416,26118
ouestfrance,ouestfrance,-14,0.7717,0.5615,-0.0502,-0.0142,26118
ouestfrance,ouestfrance,-13,0.7588,0.5633,-0.0877,-0.0391,26118
ouestfrance,ouestfrance,-12,0.7654,0.5613,-0.1010,-0.0483,26118
ouestfrance,ouestfrance,-11,0.7681,0.5670,-0.0993,-0.0473,26118
ouestfrance,ouestfrance,-10,0.7657,0.5602,-0.1080,-0.0545,26118
ouestfrance,ouestfrance,-9,0.7650,0.5594,-0.1020,-0.0486,26118
ouestfrance,ouestfrance,-8,0.7522,0.5694,-0.0945,-0.0454,26118
ouestfrance,ouestfrance,-7,0.8405,0.5903,-0.0312,0.0012,26118
ouestfrance,ouestfrance,-6,0.8073,0.5898,-0.0669,-0.0150,26118
ouestfrance,ouestfrance,-5,0.8361,0.6015,-0.0827,-0.0324,26118
ouestfrance,ouestfrance,-4,0.8434,0.6149,-0.0531,-0.0009,26118
ouestfrance,ouestfrance,-3,0.8493,0.6230,-0.0473,-0.0004,26118
ouestfrance,ouestfrance,-2,0.8347,0.6432,-0.0140,0.0285,26118
ouestfrance,ouestfrance,-1,0.8353,0.6764,0.0520,0.0836,26118
