date,20minutes,atlantico,bfmtv,challenges,cnews,francesoir,gala,l_opinion,la_croix,la_depeche,laprovence,latribune,le_capital,le_courrier_de_l_ouest,le_journal_du_dimanche,le_maine_libre,le_marin,le_nouvel_observateur,le_telegramme,leparisien,marianne,midilibre,nice_matin,ouest_france2,paris_match,paris_normandie,presse_ocean,sud_ouest,telerama,valeurs_actuelles,voici,voiles_et_voiliers,lemonde,lefigaro,lesechos,mediapart
20080318,27920,0,2548,22040,0,0,2976,0,9669,2815,127,0,1114,0,15860,0,0,0,0,0,693,0,0,137176,6498,0,0,0,874,11398,0,0,88311,94644,66976,10086
20080319,33839,0,3114,20204,0,0,3628,0,9220,1925,101,0,2465,0,19185,0,0,0,0,0,0,0,0,77139,102,0,0,0,2472,3609,0,0,67730,86234,71180,6175
20080320,25251,0,1329,13296,0,0,1599,0,6679,6198,0,0,3051,0,17508,0,0,0,0,0,0,0,0,29759,0,0,0,0,6539,0,0,0,79965,124332,63553,8875
20080321,25849,0,3556,16025,0,0,3452,0,5736,6333,0,0,2592,0,13183,0,0,0,0,0,0,0,0,15523,76,0,0,0,2167,0,0,0,83334,146089,85108,6231
20080322,4018,0,559,0,0,0,0,0,5,1000,627,0,0,0,5427,0,0,0,0,0,233,0,0,37781,0,0,0,0,15777,0,0,0,52238,80918,0,0
20080323,3593,0,0,0,0,0,436,0,312,0,0,0,0,0,26033,0,0,0,0,0,0,0,0,12937,0,0,0,0,0,0,0,0,6712,58081,0,6983
20080324,8302,0,0,0,0,0,1815,0,4819,1120,1066,0,0,0,5740,0,0,0,0,0,0,0,0,133411,0,0,0,0,0,0,0,0,48504,58069,1820,38855
20080325,32517,0,3444,17416,0,0,901,0,5582,5862,80,0,3647,0,13257,0,0,0,0,0,0,0,0,47508,6280,0,0,0,3681,9258,0,0,60679,75859,57439,4623
20080326,26542,0,2588,19889,0,0,4652,0,10116,7709,0,0,4013,0,11118,0,0,0,0,0,0,0,0,22867,802,0,0,0,2011,9533,0,0,59844,85101,63878,10655
20080327,26126,0,2022,20600,0,0,3652,0,7788,5961,0,0,3307,0,11242,0,0,0,0,0,0,0,0,9502,912,0,0,0,1911,2014,0,0,83034,104643,80378,3841
20080328,24671,0,3443,15900,0,0,2926,0,8553,6370,502,0,4353,0,10782,0,0,0,0,0,0,0,0,7894,0,0,0,0,4929,0,0,0,66427,90540,75078,9773
20080329,6743,0,86,0,0,0,71,0,277,0,0,0,0,0,8595,0,0,0,0,0,89,0,0,5263,0,0,0,0,15962,0,0,0,53335,152725,2051,4214
20080330,4630,0,189,0,0,0,0,0,6009,0,0,0,241,0,25895,0,0,0,0,0,0,0,0,1728,0,0,0,0,0,0,0,0,6404,54344,2127,2937
20080331,24597,0,1827,16297,0,0,3830,0,10481,1854,87,0,3363,0,9542,0,0,0,0,0,0,0,0,7089,364,0,0,0,4059,0,0,0,67917,92236,72209,3740
20080401,26198,0,3786,19444,0,0,2556,0,10347,6595,200,0,4172,0,10421,0,0,0,0,0,0,0,0,4209,7157,0,0,0,1274,3872,0,0,63165,86392,63645,8218
20080402,26024,0,2820,23810,0,0,3572,0,7820,3362,0,0,3043,0,14341,0,0,0,0,0,0,0,0,4705,397,0,0,0,601,10369,0,0,81138,89084,71737,3275
20080403,27054,0,1808,20435,0,0,2929,0,8280,4950,0,0,5972,0,9164,0,0,0,0,0,0,0,0,4966,0,0,0,0,4332,0,0,0,79254,88401,66403,6707
20080404,27681,0,2985,16122,0,0,2797,0,7129,2328,0,0,4570,0,10813,0,0,0,0,0,0,0,0,4462,306,0,0,0,4558,0,0,0,84666,85594,77468,7695
20080405,5794,0,0,0,0,0,0,0,95,841,0,0,0,0,7855,0,0,0,0,0,677,0,0,3317,0,0,0,0,19074,0,0,0,52718,173922,4557,7988
20080406,9105,0,94,0,0,0,835,0,6468,1173,0,0,0,0,30078,0,0,0,0,0,0,0,0,2871,0,0,0,0,791,0,0,0,11087,50495,4645,2194
20080407,32318,0,972,16290,0,0,4563,0,8102,1315,0,0,3315,0,14968,0,0,0,0,0,0,0,0,3236,473,0,0,0,1100,0,0,0,79493,105824,65763,6898
20080408,29546,0,2334,17391,0,0,3433,0,8046,4277,49,0,3612,0,10623,0,0,0,0,0,0,0,0,3852,7901,0,0,0,2753,2353,0,0,65709,95147,67336,11003
20080409,28350,0,3375,14837,0,0,3350,0,11430,3141,371,0,1842,0,11631,0,0,0,0,0,0,0,0,4015,112,0,0,0,4310,11445,0,0,62815,89048,65739,6961
20080410,27675,0,2634,15955,0,0,2930,0,7274,3692,871,0,3610,0,11527,0,0,0,0,0,0,0,0,2279,0,0,0,0,2559,0,0,0,87024,101250,70660,6247
20080411,23880,0,2920,17411,0,0,4178,0,6444,3096,442,0,3837,0,11100,0,0,0,0,0,0,0,0,2630,725,0,0,0,6607,0,0,0,72863,104229,76407,6093
20080412,4081,0,0,0,0,0,0,0,110,4019,256,0,751,0,5302,0,0,0,0,0,634,0,0,2110,0,0,0,0,17069,0,0,0,56206,174853,1662,3214
20080413,7861,0,0,0,0,0,204,0,7329,1005,254,0,803,0,30481,0,0,0,0,0,0,0,0,1146,0,0,0,0,24,0,0,0,8777,50384,1924,848
20080414,25798,0,2474,16795,0,0,2554,0,8914,4999,0,0,2804,0,10564,0,0,0,0,0,0,0,0,3733,0,0,0,0,3812,0,0,0,18200,105993,63425,11499
20080415,28788,0,2636,16318,0,0,4759,0,10107,329,398,0,1790,0,13696,0,0,0,0,0,0,0,0,2903,6558,0,0,0,2132,7881,0,0,90148,94710,76953,10850
20080416,29562,0,3872,14435,0,0,2552,0,8956,1788,629,0,2396,0,9779,0,0,0,0,0,0,0,0,3158,73,0,0,0,4894,8048,0,0,61401,89772,63485,6528
20080417,27920,0,3801,14131,0,0,3367,0,10105,1552,472,0,1719,0,11179,0,0,0,0,0,0,0,0,2294,589,0,0,0,391,0,0,0,28968,110738,67427,9499
20080418,26723,0,2151,14609,0,0,3693,0,6527,1743,371,0,5043,0,7723,0,0,0,0,0,0,0,0,1017,190,0,0,0,4033,0,0,0,88987,79550,77215,6556
20080419,7130,0,349,201,0,0,0,0,238,3048,757,0,0,0,9097,0,0,0,0,0,0,0,0,2592,0,0,0,0,17054,0,0,0,46794,80868,3941,1714
20080420,7198,0,0,0,0,0,979,0,5847,1999,559,0,0,0,25820,0,0,0,0,0,0,0,0,2089,0,0,0,0,1032,0,0,0,6925,47387,1085,6886
20080421,29979,0,3371,16124,0,0,3479,0,10518,4371,0,0,4702,0,11565,0,0,0,0,0,0,0,0,4351,61,0,0,0,5333,0,0,0,66763,102119,56092,4984
