mot,total,jours_actifs,n_medias
ouverte,917771,6804,36
immédiatement,421173,6804,36
procès,711454,6801,36
anglais,507561,6804,36
villes,759017,6802,36
souligne,1359286,6804,36
faute,652549,6804,36
soixante,213280,6786,36
l'an,1243795,6804,36
présenter,731987,6803,36
uns,312754,6801,36
démocratique,224703,6797,36
suivi,1012299,6804,36
liste,1279953,6804,36
coups,751807,6803,36
genre,653007,6804,36
rester,986246,6804,36
proposition,523917,6802,36
porté,651863,6804,36
diverses,421547,6794,36
fonctions,378218,6799,36
favorable,370856,6804,36
tôt,862898,6804,36
syndicats,538641,6798,36
rapports,211462,6792,36
l'ouest,522626,6804,36
pourront,900274,6798,36
restent,672263,6804,36
représente,661499,6802,36
participer,917225,6804,36
demeure,335928,6796,36
court,690103,6804,36
unies,182943,6789,36
allemande,312917,6797,36
rapide,523130,6804,36
bientôt,538711,6803,36
reprises,592432,6804,36
l'intérêt,361937,6803,36
somme,512455,6801,36
régions,462484,6800,36
événements,498806,6802,36
poursuivre,641317,6804,36
signé,606513,6804,36
tendance,522236,6803,36
durée,815879,6802,36
organisations,285231,6795,36
prévoit,595779,6802,36
créé,809914,6804,36
européen,957787,6804,36
moyenne,1111715,6804,36
formule,359439,6797,36
milliers,666862,6804,36
partout,605500,6804,36
chine,1038487,6803,36
statut,415979,6804,36
classe,985455,6803,36
propositions,433638,6798,36
pression,760542,6804,36
conseiller,721281,6802,36
chemin,877115,6804,36
conscience,403000,6800,36
l'époque,817796,6804,36
tiers,602617,6800,36
refusé,353642,6804,36
critique,386841,6802,36
ouest,1211919,6803,36
mots,752578,6803,36
l'association,3906348,6803,36
michel,1896952,6804,36
sociales,432964,6803,36
beau,905143,6804,36
entreprise,775512,6799,36
journalistes,515056,6803,36
prison,1049849,6803,36
personnalités,312111,6798,36
petites,758768,6804,36
françois,2501231,6804,36
élevé,419635,6801,36
coopération,257347,6794,36
traité,218603,6789,36
revient,612623,6804,36
techniques,688962,6801,36
milieux,164482,6787,36
lignes,501612,6803,36
d'où,413094,6803,36
danger,477316,6804,36
franco,291505,6801,36
devenu,807149,6804,36
unique,679444,6804,36
devient,621999,6803,36
responsable,1465749,6804,36
députés,598727,6797,36
moindre,410445,6804,36
vérité,296391,6802,36
centrale,622278,6802,36
maire,3905069,6804,36
central,339706,6799,36
pose,526641,6803,36
arrivé,661891,6804,36
l'ouverture,714413,6804,36
minutes,1746682,6804,36
intérêt,285385,6801,36
province,260640,6803,36
organisation,371903,6802,36
vigueur,327037,6799,36
comprendre,644772,6804,36
fallait,576934,6804,36
poids,593234,6804,36
réserve,504783,6801,36
cents,141430,6786,36
semblent,297853,6800,36
l'air,613940,6804,36
pratique,887476,6803,36
britanniques,272574,6796,36
taux,1451596,6803,36
sinon,267837,6799,36
allemands,260691,6796,36
démocratie,374031,6801,36
cité,789153,6804,36
nation,222689,6792,36
ordre,217471,6792,36
noir,739932,6804,36
suivant,339847,6800,36
supérieur,395940,6799,36
défendre,463039,6804,36
attendre,490116,6804,36
indique,1238893,6804,36
type,813350,6804,36
connaître,781374,6804,36
chiffres,761474,6804,36
aide,736823,6803,36
réduire,628942,6803,36
habitants,1755657,6802,36
dépit,183317,6800,36
manifestation,732021,6800,36
assuré,807764,6804,36
réalisé,982513,6804,36
croit,209753,6801,36
portée,418983,6800,36
ressources,442637,6801,36
montré,486537,6804,36
sérieux,374580,6804,36
rend,452491,6803,36
faible,479535,6804,36
faites,407425,6798,36
vouloir,451235,6803,36
proposé,849021,6804,36
accepté,348056,6802,36
remis,568048,6803,36
blanc,854057,6804,36
profit,428526,6803,36
meilleure,681894,6804,36
études,602738,6802,36
vivre,1121688,6804,36
camp,553803,6804,36
dehors,393755,6801,36
repris,565321,6803,36
prêt,695091,6804,36
réaliser,721342,6803,36
conduit,412089,6804,36
portant,335045,6804,36
tenue,499643,6801,36
paraît,241006,6801,36
sentiment,430426,6804,36
avions,537578,6802,36
numéro,736057,6804,36
trouvent,284013,6801,36
compter,742179,6804,36
résistance,301621,6798,36
parties,517671,6803,36
pleine,716800,6804,36
révolution,336587,6799,36
sortir,885200,6804,36
demain,983425,6804,36
hausse,1370202,6804,36
l'auteur,437006,6799,36
nommé,331061,6796,36
données,997030,6797,36
bataille,400212,6804,36
l'école,2185062,6803,36
maintien,546893,6799,36
totale,383382,6802,36
activités,1396314,6803,36
georges,442500,6796,36
vente,1315814,6803,36
venus,751097,6804,36
andré,580884,6803,36
probablement,364494,6803,36
condamné,646115,6802,36
discussion,241973,6797,36
né,597292,6801,36
locaux,1486220,6804,36
manifestations,557856,6800,36
soirée,1983307,6804,36
l'évolution,357699,6796,36
entend,372102,6800,36
partisans,182709,6795,36
critiques,376579,6804,36
activité,857868,6802,36
rappelé,550786,6802,36
époque,357072,6798,36
conséquence,305238,6803,36
gouvernements,135679,6776,36
discussions,415608,6802,36
choisi,823498,6804,36
soumis,230300,6783,36
suisse,539473,6804,36
civile,446767,6801,36
faudra,696560,6804,36
gagner,872330,6804,36
montant,804461,6803,36
adopté,287017,6788,36
assure,1175586,6804,36
reconnu,563742,6801,36
prévue,666947,6804,36
avis,499949,6804,36
sol,748527,6804,36
culture,1207729,6803,36
changement,771494,6804,36
mauvais,475601,6804,36
mouvements,273425,6801,36
histoire,1116329,6804,36
essentiellement,323518,6796,36
prêts,444001,6803,36
lorsqu'il,357772,6804,36
respect,630813,6803,36
débats,387831,6801,36
s'étaient,348574,6801,36
quatrième,607724,6804,36
disposition,611196,6797,36
charles,648565,6803,36
conclu,339848,6799,36
l'entrée,671701,6804,36
faudrait,275813,6802,36
sociétés,453821,6799,36
l'absence,458036,6804,36
provoqué,313269,6802,36
opération,734907,6804,36
revenir,716311,6804,36
protection,895941,6804,36
tâche,217890,6803,36
commence,587925,6804,36
jeunesse,717429,6803,36
comprend,350932,6798,36
besoins,554132,6795,36
précédent,442656,6804,36
montrer,592988,6804,36
frontière,352943,6799,36
travailleurs,270612,6795,36
frais,712922,6803,36
l'origine,630567,6804,36
soldats,421253,6802,36
figure,560955,6804,36
lumière,602637,6804,36
sociaux,1303154,6802,36
bilan,1002407,6804,36
augmentation,442399,6792,36
élu,629155,6803,36
connaissance,404880,6795,36
centaines,567651,6804,36
familles,1261142,6804,36
soutien,1417950,6804,36
chance,787367,6804,36
importants,362802,6802,36
marche,958137,6804,36
socialistes,229905,6785,35
réduction,451260,6801,36
répondu,618954,6802,36
livres,661890,6801,36
estiment,246742,6796,36
financière,569223,6801,36
appelé,654734,6804,36
contact,1236966,6803,36
article,461662,6797,36
blanche,653895,6804,36
vaste,323146,6801,36
explique,3299612,6804,36
devaient,249831,6803,36
roi,430456,6801,36
enquête,953966,6804,36
signe,584008,6804,36
grève,517751,6794,36
moderne,257583,6798,36
souhaite,826681,6804,36
l'université,586542,6802,36
attendant,513173,6804,36
procédure,548447,6797,36
accords,186761,6782,36
d'europe,548920,6804,36
l'équipe,2631851,6804,36
tirer,325617,6804,36
aussitôt,195813,6803,36
publiques,548737,6802,36
retrouver,1182535,6804,36
