mot,date,surprise,c1_s4,c2_s4,c3_s4,c4_s4,c1_s6,c2_s6,c3_s6,c4_s6
pris,20160814,4.313,1.5438,1.4415,2.0094,1.2701,,,,
certains,20200320,6.9998,4.7053,-0.7604,-1.5531,0.9209,4.1299,-1.9486,-2.0284,1.3041
certains,20201103,4.508,3.2756,1.2833,-0.2234,0.1439,,,,
ministre,20101114,11.2465,0.0901,-1.0783,0.8509,-0.1582,-0.4372,-1.1573,0.6992,0.0408
ministre,20120516,9.5528,2.6313,0.2487,0.427,0.6093,2.4149,-0.752,0.261,0.7485
ministre,20140403,5.708,0.3899,0.9825,-0.5939,-0.9452,,,,
ministre,20140825,9.0293,1.1933,-0.5256,1.341,-0.8194,0.8437,-1.0852,0.9597,-0.7346
ministre,20170517,4.9877,2.5289,-1.4226,-1.885,-0.0697,,,,
ministre,20200706,4.3758,0.378,-0.2895,1.6434,-0.5341,,,,
ministre,20240111,4.4598,1.613,0.0456,-0.3767,-1.247,,,,
ministre,20240922,4.4757,1.353,-0.2715,0.2359,1.6396,,,,
ministre,20241224,5.0112,-0.8019,-0.2915,0.3998,1.0445,,,,
nouvelle,20120904,4.5213,2.817,0.3133,-1.0521,-0.7039,,,,
nouvelle,20140903,4.7676,2.7191,1.7572,-0.3832,-1.2993,,,,
nouvelle,20201221,4.0279,2.1927,-0.4541,-0.659,1.5112,,,,
nouvelle,20210902,4.0799,2.1117,1.3333,0.1126,-0.7728,,,,
nouvelle,20220629,29.974,-1.8042,-0.6498,0.1794,0.5814,-2.0393,0.0485,0.3863,0.7711
nouvelle,20230907,4.8505,1.2059,0.8983,-1.1702,-1.6241,,,,
nouvelle,20240516,4.7096,2.1257,-0.1242,1.7675,-0.4123,,,,
nouvelle,20250102,8.7851,1.5213,-0.7172,0.0423,-0.3711,0.9788,-1.2222,-0.3436,-0.1877
lieu,20251128,8.0673,-1.6463,3.4311,-0.5023,0.6846,-0.4511,3.8376,0.1176,0.6413
lieu,20260623,7.6463,2.0243,1.0407,-0.5427,0.0242,2.1161,0.3272,-0.845,-0.1842
près,20140726,4.578,1.3287,2.431,-0.3774,1.9677,,,,
chef,20080703,5.8382,1.9295,-0.2245,-0.0313,1.6245,,,,
chef,20110504,4.5223,1.3073,0.3548,-0.1927,-2.6232,,,,
chef,20120129,4.75,-1.1317,-0.1321,-0.7591,1.3282,,,,
chef,20120516,4.4017,-1.2247,2.2366,0.715,0.4071,,,,
chef,20170719,5.0864,-1.3393,0.8823,-1.0684,-1.2354,,,,
vie,20251228,5.0039,2.5764,-1.98,-0.8562,-0.6918,,,,
question,20080425,4.6653,0.4647,-1.7637,-2.567,1.4808,,,,
reste,20080314,6.2976,1.7833,-1.6122,-2.376,-0.5149,1.0262,-1.6704,-2.7933,-0.0909
gouvernement,20101114,7.6991,-2.0363,-1.0994,1.8079,-0.6186,-2.24,-0.5156,1.7688,-0.6588
gouvernement,20120516,7.0281,1.6858,1.335,-0.1166,-0.2133,1.863,0.6425,-0.1619,0.0543
gouvernement,20140825,10.4971,0.7701,-0.9641,0.1276,-0.5888,0.1737,-1.2269,-0.1373,-0.3607
cas,20090502,5.4947,1.4789,0.8925,-0.4626,-1.2378,,,,
cas,20200323,9.673,2.9651,2.6101,-1.3682,1.3568,3.5457,1.6165,-1.2242,1.4961
cas,20220103,6.4826,0.0456,3.675,0.066,-0.1699,1.245,3.3815,0.315,-0.2112
cas,20240422,6.6829,2.5055,-1.117,1.1784,-0.1567,1.9914,-2.0629,0.8601,-0.1039
cas,20240829,6.4545,-1.5833,3.5695,1.574,1.7717,-0.0443,3.8677,2.4192,1.7741
prendre,20200323,13.4076,2.7299,2.1183,-1.9511,-0.0318,3.0551,1.3211,-2.033,0.3834
prendre,20210114,4.1376,1.7824,-0.3943,0.4388,-2.028,,,,
prendre,20220226,4.1995,0.2824,1.0621,1.0952,1.2175,,,,
compte,20130402,7.9948,1.0809,1.329,2.771,0.4926,1.5789,0.5335,2.6338,0.1894
compte,20210108,4.2807,2.3854,-1.3358,1.1007,0.0472,,,,
guerre,20141111,5.6423,0.1509,1.7104,0.382,-1.3736,,,,
guerre,20151115,6.8102,0.1928,0.3586,0.6363,-1.4781,0.1498,0.1304,0.4633,-1.3391
guerre,20181111,10.6487,-0.5166,2.7453,-1.3579,-1.1756,0.2506,2.8791,-1.1833,-0.9843
guerre,20220301,12.5307,4.4665,0.2206,-0.7149,0.6573,4.1942,-1.1316,-1.2216,0.8159
guerre,20230224,6.2496,-0.9521,0.6775,-1.5663,-1.3686,-0.9359,1.1514,-1.5874,-1.0209
guerre,20260304,4.7377,4.2745,-0.8741,-0.7426,0.6886,,,,
six,20080401,4.8463,-3.2381,1.935,1.7749,2.0985,,,,
six,20080703,4.8723,2.2264,-1.4961,-0.6525,-0.1743,,,,
six,20081224,4.0263,2.7932,0.0369,-0.5556,1.6436,,,,
six,20260316,7.0379,0.4737,1.5485,0.3279,0.6736,0.8941,1.2573,0.3768,0.8517
seul,20080323,10.4275,-1.0738,0.4282,-1.7066,0.1334,-1.1057,1.0436,-1.5787,0.471
seul,20080823,6.0299,-1.5386,-1.3908,0.4215,1.4607,-1.7155,-0.4637,0.7073,1.841
mis,20180723,4.1504,-0.9154,0.6023,1.2415,-0.6594,,,,
mis,20200329,6.6263,4.0717,0.8922,-2.0179,1.2635,3.9882,-0.1987,-2.0958,1.784
nationale,20120618,4.3248,-1.3953,0.8622,1.6403,0.6566,,,,
nationale,20170619,6.5577,-0.0591,0.5527,0.6025,0.7609,0.0042,0.5071,0.6391,0.93
nationale,20220620,14.1841,0.6265,-0.6892,0.2706,0.4263,0.1592,-0.9274,0.0744,0.4842
nationale,20230317,4.1326,-0.0993,1.8094,1.4216,-0.8484,,,,
nationale,20240609,11.0508,2.8651,-2.009,-0.4296,0.8135,1.9016,-2.7288,-0.7781,1.0452
seulement,20080504,4.289,-0.9157,-0.9661,-0.5947,-0.6802,,,,
seulement,20080928,4.7288,-0.1406,-2.3152,-0.5282,1.9722,,,,
seulement,20231124,5.0212,-0.3477,2.8474,-0.7384,0.1846,,,,
pouvoir,20080425,4.4406,0.7179,-1.4321,-1.1819,2.542,,,,
pouvoir,20081224,4.6231,-1.2562,0.7787,2.5746,0.614,,,,
pouvoir,20110212,4.3823,-0.5245,2.3716,-0.3007,1.3728,,,,
française,20080814,9.2433,-0.7168,1.3745,1.4721,-1.7652,0.0838,1.5502,1.2006,-1.8176
française,20240727,9.4026,2.0445,-0.1106,1.373,0.2009,1.8409,-0.9396,1.0338,0.2472
unis,20081106,12.5562,-1.7644,0.5114,0.5062,-1.2143,-1.5524,0.9933,0.4246,-1.2236
unis,20110808,4.9878,0.4987,0.2037,-2.339,0.089,,,,
unis,20161109,8.0912,0.2077,-0.5562,0.8889,-0.1994,-0.1521,-0.7531,0.671,-0.1337
unis,20250120,4.3597,2.1708,-2.282,-1.8969,1.1833,,,,
unis,20260301,5.6806,0.8058,-1.5478,0.8604,-0.8743,,,,
nombre,20200329,7.7432,4.2099,0.1824,-2.1469,1.7721,3.8739,-0.8936,-2.2843,2.1662
déclaré,20110320,4.1318,-0.3108,2.1119,-0.3815,1.2358,,,,
déclaré,20110724,4.5474,-1.8637,-1.1339,-0.4318,-1.197,,,,
déclaré,20120528,4.5058,-4.2008,2.2373,0.5156,1.1354,,,,
travail,20120501,5.4655,-0.7341,-0.8328,-2.0582,-0.5671,,,,
