date,N_1gram,N_2gram,guerre,gaulle,communiste,algerie,europe,francs,euro,chomage,internet,nucleaire,climat,terrorisme,immigration,television,mondialisation,croissance,milliards,mitterrand,chirac,sarkozy,hollande,macron,crise,islam,attentats,irak,inflation,covid,confinement,vaccin,russie,ukraine,poutine,gaza,retraites,jeux,dissolution,zemmour,etudiants,intelligence_artificielle,president,gouvernement,economie
19450224,10423,9089.0,20,5,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12,33,1
19450226,11462,9966.0,43,4,3,1,0,12,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0.0,7,26,0
19450227,10782,9362.0,46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,6,28,1
19450228,11096,9610.0,31,4,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,11,25,0
19450301,10897,9654.0,26,17,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,1,0.0,14,26,2
19450302,10318,8970.0,36,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.0,25,47,0
19450303,9816,8515.0,34,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.0,21,29,0
19450305,24657,21366.0,58,35,6,0,2,1,0,4,0,0,1,0,0,0,0,1,5,0,0,0,0,0,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0.0,25,67,7
19450306,10402,8868.0,25,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.0,7,14,1
19450307,10918,9383.0,13,7,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17,26,0
19450308,9980,8637.0,18,4,4,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,10,31,0
19450309,10586,9144.0,32,4,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,13,27,0
19450310,10251,8842.0,18,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,5,20,1
19450312,12702,11006.0,20,7,2,0,0,16,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,13,39,1
19450313,10097,8832.0,21,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15,34,0
19450314,9801,8513.0,15,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,16,21,0
19450315,10306,8892.0,14,6,3,0,1,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,11,20,0
19450316,10898,9394.0,24,11,0,0,2,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,20,0
19450317,10439,9039.0,26,2,3,1,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,8,23,1
19450319,12251,10630.0,32,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8,21,1
19450320,10371,8882.0,13,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11,21,0
19450321,9604,8362.0,14,4,5,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.0,12,26,0
19450322,9939,8629.0,25,8,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,11,21,1
19450323,9610,8384.0,20,0,6,0,1,5,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,8,35,0
19450324,10558,9252.0,27,8,0,0,2,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0.0,11,29,2
19450326,11231,9773.0,21,10,5,0,1,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0.0,7,17,1
19450327,9493,8313.0,15,3,1,0,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6,29,0
19450328,10241,8827.0,17,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12,21,0
19450329,10027,8812.0,29,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9,18,0
19450330,10276,8957.0,30,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,9,34,0
19450331,28137,24439.0,73,2,6,0,0,22,0,2,0,0,1,0,0,0,0,0,54,0,0,0,1,0,5,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0.0,13,47,3
19450402,13827,11905.0,43,3,2,1,3,5,0,0,0,0,1,0,0,0,0,1,5,0,0,0,1,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.0,14,28,0
19450403,12938,11155.0,21,20,1,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,15,38,0
19450404,11638,10054.0,29,11,6,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,0.0,15,22,1
19450405,9304,8014.0,18,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,8,28,0
19450406,10441,9143.0,16,2,1,0,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,8,18,0
19450407,10632,9258.0,38,2,4,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.0,11,20,2
19450409,11200,9670.0,27,0,1,0,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,23,26,0
19450410,10161,8727.0,14,2,5,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,7,27,1
19450411,10865,9390.0,16,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,14,29,0
19450412,10207,8705.0,27,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9,22,0
19450413,9608,8336.0,28,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,7,30,1
19450414,25786,22127.0,61,12,4,0,4,5,0,2,0,0,0,0,0,0,0,0,5,0,0,0,6,0,3,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,2,0.0,118,45,0
19450416,10024,8739.0,35,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,70,23,0
19450417,11456,9891.0,26,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0.0,29,17,0
19450418,10275,8890.0,14,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0.0,28,31,0
19450419,10322,8946.0,26,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,34,15,0
19450420,10761,9275.0,21,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,24,16,0
19450421,9810,8509.0,15,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,13,31,0
19450423,11425,9880.0,18,1,2,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,9,18,0
19450424,26103,22676.0,47,14,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0.0,39,42,0
19450425,10429,9111.0,38,5,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,13,51,2
19450426,9964,8502.0,20,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,12,23,0
19450427,10537,9176.0,23,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.0,16,20,0
19450428,10201,8834.0,16,17,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0.0,15,22,0
19450430,12058,10446.0,23,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.0,14,24,0
19450502,16729,14305.0,22,3,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,3,0.0,12,39,0
19450503,9637,8381.0,21,3,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,0,0.0,12,20,0
19450504,24225,20813.0,55,5,2,0,1,6,0,0,0,0,1,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,3,0.0,20,34,1
19450505,9226,8017.0,21,2,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0.0,6,27,0
19450507,11549,9952.0,35,2,4,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,16,22,0
19450508,9406,8093.0,23,2,0,0,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0.0,6,35,0
19450509,23041,19714.0,75,29,1,0,11,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0.0,21,28,2
19450510,11697,10211.0,44,22,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0.0,27,18,0
19450511,11790,10214.0,44,10,1,0,6,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.0,13,17,0
19450512,10233,8962.0,38,4,3,0,4,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,16,14,0
19450514,12223,10653.0,48,9,4,1,3,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0.0,19,17,1
19450515,18681,16165.0,43,6,3,0,4,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0.0,10,41,0
19450516,9610,8307.0,24,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22,26,0
19450517,11276,9889.0,45,10,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0.0,15,31,0
19450518,10132,8785.0,31,2,6,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,16,28,0
19450519,9830,8626.0,26,4,3,2,2,2,0,1,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,9,29,1
19450521,12183,10568.0,23,4,1,1,2,3,0,2,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0.0,24,33,1
19450522,11171,9695.0,21,4,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,8,34,3
