mot,categorie,source
l'action,nom,lexique
mondiale,nom,lexique
dessus,nom,lexique
d'entre,autre,lexique
continue,adj,lexique
mètres,nom,lexique
livre,nom,lexique
l'étranger,nom,lexique
commune,nom,lexique
milliards,nom,lexique
rappelle,verbe,lexique
juste,nom,lexique
pied,nom,lexique
penser,verbe,lexique
guère,autre,lexique
prévu,verbe,lexique
connu,adj,lexique
simplement,autre,lexique
communiste,nom,lexique
février,nom,lexique
différents,adj,lexique
l'issue,nom,lexique
siècle,nom,lexique
travers,nom,lexique
affaire,nom,lexique
efforts,nom,lexique
créer,verbe,lexique
député,nom,lexique
dollars,nom,lexique
divers,adj,lexique
jouer,verbe,lexique
voyage,nom,lexique
davantage,autre,lexique
louis,nom,lexique
informations,nom,lexique
obtenu,verbe,lexique
nouvel,adj,lexique
proche,nom,lexique
veille,nom,lexique
responsabilité,nom,lexique
l'opposition,nom,lexique
lesquelles,autre,lexique
conflit,nom,lexique
plein,nom,lexique
puissance,nom,lexique
note,nom,lexique
trouvé,adj,lexique
principaux,nom,lexique
commencé,verbe,lexique
secteur,nom,lexique
anciens,nom,lexique
scène,nom,lexique
lesquels,autre,lexique
charge,nom,lexique
porter,nom,lexique
petits,nom,lexique
vote,nom,lexique
l'égard,nom,lexique
allemand,nom,lexique
compagnie,nom,lexique
l'administration,nom,lexique
intérêts,nom,lexique
grave,nom,lexique
participation,nom,lexique
obtenir,verbe,lexique
robert,nom_propre,manuel
manque,nom,lexique
source,nom,lexique
finances,nom,lexique
constitution,nom,lexique
construction,nom,lexique
cinquante,nom,lexique
passage,nom,lexique
poursuit,verbe,lexique
américaines,nom,lexique
siège,nom,lexique
juge,nom,lexique
officiel,nom,lexique
gros,nom,lexique
femmes,nom,lexique
l'idée,nom,lexique
déclare,verbe,lexique
ouvert,adj,lexique
actuelle,adj,lexique
douze,autre,lexique
l'agence,nom,lexique
nécessaires,nom,lexique
l'esprit,nom,lexique
condition,nom,lexique
vite,adj,lexique
vraiment,autre,lexique
possibilité,nom,lexique
l'industrie,nom,lexique
l'accord,nom,lexique
reprise,nom,lexique
aller,nom,lexique
derrière,nom,lexique
recherche,nom,lexique
opérations,nom,lexique
perdu,nom,lexique
l'allemagne,nom_propre,lexique+spacy
août,nom,lexique
milieu,nom,lexique
menace,nom,lexique
conséquences,nom,lexique
constitue,verbe,lexique
réussi,adj,lexique
palais,nom,lexique
pouvoirs,nom,lexique
entendre,verbe,lexique
projets,nom,lexique
laisse,nom,lexique
cabinet,nom,lexique
éviter,verbe,lexique
fils,nom,lexique
salle,nom,lexique
montre,nom,lexique
met,verbe,lexique
troupes,nom,lexique
fonds,nom,lexique
l'opinion,nom,lexique
indiqué,adj,lexique
réforme,nom,lexique
bout,nom,lexique
responsables,nom,lexique
auquel,autre,lexique
victimes,nom,lexique
allemagne,nom_propre,lexique+spacy
devoir,nom,lexique
sûr,adj,lexique
parle,verbe,lexique
budget,nom,lexique
théâtre,nom,lexique
vieux,nom,lexique
européens,nom,lexique
répondre,verbe,lexique
lendemain,nom,lexique
différentes,adj,lexique
devra,verbe,lexique
rouge,nom,lexique
tribunal,nom,lexique
arrêté,nom,lexique
reprendre,verbe,lexique
déclarations,nom,lexique
décisions,nom,lexique
communauté,nom,lexique
combat,nom,lexique
armes,nom,lexique
moscou,nom_propre,spacy
front,nom,lexique
fonction,nom,lexique
maintenir,verbe,lexique
meilleur,nom,lexique
moitié,nom,lexique
courant,nom,lexique
largement,autre,lexique
père,nom,lexique
train,nom,lexique
veulent,verbe,lexique
officiellement,autre,lexique
bord,nom,lexique
actuel,adj,lexique
propres,nom,lexique
assurer,verbe,lexique
officielle,nom,lexique
santé,nom,lexique
suivre,verbe,lexique
ailleurs,autre,lexique
professeur,nom,lexique
souligné,verbe,lexique
morts,nom,lexique
progrès,nom,lexique
laissé,nom,lexique
mains,nom,lexique
directement,autre,lexique
existe,verbe,lexique
lancé,verbe,lexique
principal,nom,lexique
d'accord,nom,lexique
belle,nom,lexique
chiffre,nom,lexique
seine,nom_propre,lexique+spacy
venu,adj,lexique
delà,autre,lexique
devenir,nom,lexique
propose,verbe,lexique
impossible,nom,lexique
évidemment,autre,lexique
ouverte,adj,lexique
immédiatement,autre,lexique
procès,nom,lexique
anglais,nom,lexique
villes,nom,lexique
souligne,verbe,lexique
faute,nom,lexique
soixante,nom,lexique
l'an,nom,lexique
présenter,verbe,lexique
uns,autre,lexique
démocratique,adj,lexique
suivi,nom,lexique
liste,nom,lexique
coups,nom,lexique
genre,nom,lexique
rester,verbe,lexique
proposition,nom,lexique
porté,verbe,lexique
diverses,adj,lexique
fonctions,nom,lexique
favorable,adj,lexique
tôt,autre,lexique
syndicats,nom,lexique
rapports,nom,lexique
l'ouest,nom,lexique
pourront,verbe,lexique
restent,verbe,lexique
représente,verbe,lexique
participer,verbe,lexique
demeure,nom,lexique
court,nom,lexique
unies,adj,lexique
allemande,nom,lexique
rapide,nom,lexique
bientôt,autre,lexique
reprises,nom,lexique
l'intérêt,nom,lexique
somme,nom,lexique
régions,nom,lexique
événements,nom,lexique
poursuivre,verbe,lexique
signé,adj,lexique
tendance,nom,lexique
durée,nom,lexique
organisations,nom,lexique
prévoit,verbe,lexique
créé,verbe,lexique
européen,nom,lexique
moyenne,nom,lexique
formule,nom,lexique
milliers,nom,lexique
partout,autre,lexique
chine,nom,lexique
statut,nom,lexique
classe,nom,lexique
propositions,nom,lexique
pression,nom,lexique
conseiller,nom,lexique
chemin,nom,lexique
conscience,nom,lexique
l'époque,nom,lexique
tiers,nom,lexique
refusé,nom,lexique
critique,nom,lexique
ouest,nom,lexique
mots,nom,lexique
l'association,nom,lexique
michel,nom_propre,spacy
sociales,adj,lexique
beau,nom,lexique
entreprise,nom,lexique
journalistes,nom,lexique
prison,nom,lexique
personnalités,nom,lexique
petites,nom,lexique
françois,nom_propre,spacy
élevé,adj,lexique
coopération,nom,lexique
traité,nom,lexique
revient,nom,lexique
techniques,nom,lexique
milieux,nom,lexique
lignes,nom,lexique
d'où,autre,lexique
danger,nom,lexique
franco,autre,lexique
devenu,verbe,lexique
unique,adj,lexique
devient,verbe,lexique
responsable,nom,lexique
députés,nom,lexique
moindre,adj,lexique
vérité,nom,lexique
centrale,nom,lexique
maire,nom,lexique
central,nom,lexique
pose,nom,lexique
arrivé,nom,lexique
l'ouverture,nom,lexique
minutes,nom,lexique
intérêt,nom,lexique
province,nom,lexique
organisation,nom,lexique
vigueur,nom,lexique
comprendre,verbe,lexique
fallait,verbe,lexique
poids,nom,lexique
réserve,nom,lexique
cents,autre,lexique
semblent,verbe,lexique
l'air,nom,lexique
pratique,nom,lexique
britanniques,nom,lexique
taux,nom,lexique
sinon,autre,lexique
allemands,nom,lexique
démocratie,nom,lexique
cité,nom,lexique
nation,nom,lexique
ordre,nom,lexique
noir,nom,lexique
suivant,nom,lexique
supérieur,nom,lexique
défendre,verbe,lexique
attendre,verbe,lexique
indique,verbe,lexique
type,nom,lexique
connaître,verbe,lexique
chiffres,nom,lexique
aide,nom,lexique
réduire,verbe,lexique
habitants,nom,lexique
dépit,nom,lexique
manifestation,nom,lexique
assuré,nom,lexique
réalisé,adj,lexique
croit,verbe,lexique
portée,nom,lexique
ressources,nom,lexique
montré,verbe,lexique
sérieux,nom,lexique
rend,verbe,lexique
faible,nom,lexique
faites,adj,lexique
vouloir,nom,lexique
proposé,adj,lexique
accepté,verbe,lexique
remis,adj,lexique
blanc,nom,lexique
profit,nom,lexique
meilleure,nom,lexique
études,nom,lexique
vivre,nom,lexique
camp,nom,lexique
dehors,nom,lexique
repris,nom,lexique
prêt,nom,lexique
réaliser,verbe,lexique
conduit,nom,lexique
portant,nom,lexique
tenue,nom,lexique
paraît,verbe,lexique
sentiment,nom,lexique
avions,nom,lexique
numéro,nom,lexique
trouvent,verbe,lexique
compter,verbe,lexique
résistance,nom,lexique
parties,nom,lexique
pleine,adj,lexique
révolution,nom,lexique
sortir,nom,lexique
demain,nom,lexique
hausse,nom,lexique
l'auteur,nom,lexique
nommé,adj,lexique
données,nom,lexique
bataille,nom,lexique
l'école,nom,lexique
maintien,nom,lexique
