mot,date,X_t,N_t,f_t,p_t,surprise,n_absorbes
semaine,20200327,406,610219,66.53,1.172e-12,11.93,3
défense,19501025,259,184967,140.02,5.065e-10,9.3,11
défense,19520211,207,188404,109.87,4.579e-07,6.34,5
défense,19530202,217,202684,107.06,7.66e-07,6.12,2
défense,19540415,214,210237,101.79,2.305e-06,5.64,2
mise,19950526,249,434228,57.34,5.602e-05,4.25,0
mise,20000707,354,607945,58.23,1.927e-05,4.72,0
mise,20010706,627,1076470,58.25,9.144e-06,5.04,0
nom,19860704,182,412123,44.16,6.445e-05,4.19,0
nom,20010803,367,738392,49.7,1.058e-07,6.98,0
nom,20041224,231,365317,63.23,6.539e-12,11.18,0
nom,20130524,397,688051,57.7,3.85e-11,10.41,0
nom,20150911,541,641565,84.33,3.9730000000000002e-25,24.4,0
nom,20180309,309,684675,45.13,8.163e-06,5.09,0
forces,19450511,172,97071,177.19,7.092e-12,11.15,16
forces,19471029,139,129198,107.59,2.997e-06,5.52,0
forces,19540415,189,210237,89.9,4.758e-05,4.32,0
forces,19561103,285,254626,111.93,5.691e-07,6.24,1
forces,19610722,230,260813,88.19,5.62e-05,4.25,0
forces,20030321,704,632832,111.25,3.682e-07,6.43,1
grands,19450519,50,74237,67.35,5.284e-06,5.28,0
grands,19460126,102,132043,77.25,2.164e-10,9.66,6
grands,19461115,74,129476,57.15,1.995e-05,4.7,1
mort,19450416,89,87678,101.51,3.36e-07,6.47,0
mort,19610218,197,256977,76.66,2.855e-05,4.54,0
mort,19960112,311,403271,77.12,1.474e-05,4.83,0
mort,20061229,201,275054,73.08,7.546e-05,4.12,0
mort,20110506,563,596427,94.4,2.954e-08,7.53,1
mort,20150501,158,211769,74.61,6.824e-05,4.17,0
mort,20160101,234,325792,71.82,9.083e-05,4.04,0
mort,20200605,458,607044,75.45,1.801e-05,4.74,0
décision,19500206,103,156264,65.91,3.826e-06,5.42,0
décision,19610901,158,224570,70.36,1.14e-07,6.94,0
décision,19690114,211,370057,57.02,2.196e-05,4.66,0
décision,20250404,329,625262,52.62,9.011e-05,4.05,0
sud,19450116,144,55684,258.6,3.302e-15,14.48,14
sud,19500703,252,193256,130.4,9.716e-07,6.01,0
sud,19640810,243,229538,105.86,6.215e-05,4.21,0
sud,19650812,235,227447,103.32,9.608e-05,4.02,0
sud,19730130,443,416047,106.48,4.023e-05,4.4,0
sud,20041231,414,387095,106.95,3.822e-05,4.42,0
sud,20060728,344,313389,109.77,2.598e-05,4.59,2
sud,20080808,356,325786,109.27,2.772e-05,4.56,0
sud,20100611,592,572120,103.47,6.082e-05,4.22,1
public,19580516,280,232009,120.68,1.335e-11,10.87,4
public,19820430,319,422570,75.49,3.367e-05,4.47,0
public,19840305,334,397633,84.0,2.213e-06,5.66,0
public,19940115,346,417792,82.82,3.106e-06,5.51,0
ministère,19451130,92,121341,75.82,3.082e-07,6.51,3
ministère,19470125,118,137541,85.79,2.246e-09,8.65,2
ministère,19480726,89,143858,61.87,3.813e-05,4.42,0
savoir,19841020,176,416000,42.31,3.957e-07,6.4,0
voix,19461014,107,137267,77.95,9.193e-05,4.04,0
voix,19521128,178,204346,87.11,7.208e-06,5.14,0
voix,19551229,212,214906,98.65,4.369e-07,6.36,1
voix,19650318,248,262785,94.37,9.603e-07,6.02,0
voix,19670313,460,341134,134.84,2.01e-11,10.7,1
voix,19680624,302,338828,89.13,2.694e-06,5.57,0
voix,19770319,359,393036,91.34,1.398e-06,5.85,0
voix,19790327,377,466412,80.83,1.61e-05,4.79,0
voix,19890318,364,446418,81.54,1.392e-05,4.86,0
voix,19920403,497,518718,95.81,3.78e-07,6.42,0
voix,20010316,1127,1525842,73.86,5.963e-05,4.22,1
voix,20020503,733,1005176,72.92,8.03e-05,4.1,0
voix,20080314,541,536599,100.82,1.03e-07,6.99,1
voix,20090605,395,533064,74.1,7.383e-05,4.13,0
voix,20120420,736,923859,79.67,1.636e-05,4.79,1
voix,20240705,553,704347,78.51,2.348e-05,4.63,0
titre,19970805,139,316586,43.91,3.497e-05,4.46,1
titre,19990825,154,345229,44.61,1.701e-05,4.77,1
titre,20000922,372,854198,43.55,4.881e-06,5.31,1
titre,20040820,230,419530,54.82,3.286e-09,8.48,1
titre,20080815,234,386823,60.49,3.701e-11,10.43,1
titre,20101105,252,613111,41.1,5.368e-05,4.27,0
titre,20120803,302,485028,62.26,2.043e-12,11.69,1
titre,20160812,319,494490,64.51,2.151e-13,12.67,2
service,19650522,167,278884,59.88,4.474e-05,4.35,2
service,19700605,267,399322,66.86,1.29e-06,5.89,1
service,19730328,265,406094,65.26,2.559e-06,5.59,0
service,19820430,244,422570,57.74,5.881e-05,4.23,0
service,19840305,227,397633,57.09,8.225e-05,4.08,0
service,19960225,314,508832,61.71,8.887e-06,5.05,1
projet,19460919,190,146773,129.45,3.769e-06,5.42,1
projet,19470714,165,141902,116.28,3.916e-05,4.41,1
projet,19480811,193,146880,131.4,2.656e-06,5.58,1
loi,19570928,349,249934,139.64,6.285e-07,6.2,2
loi,19940115,582,417792,139.3,4.555e-07,6.34,0
loi,20060331,1136,1055415,107.64,9.036e-05,4.04,0
saint,19490715,133,150709,88.25,1.703e-05,4.77,0
saint,19581010,190,219196,86.68,1.39e-05,4.86,0
saint,19650507,253,264342,95.71,9.214e-07,6.04,2
saint,19690114,302,370057,81.61,3.019e-05,4.52,0
saint,19780810,258,319386,80.78,4.265e-05,4.37,0
saint,19880927,393,459685,85.49,8.868e-06,5.05,0
saint,19920326,483,518800,93.1,9.314e-07,6.03,0
saint,19930326,721,722293,99.82,9.909e-08,7.0,0
saint,19960823,314,305131,102.91,9.499e-08,7.02,0
saint,19980319,796,575397,138.34,5.054e-13,12.3,1
saint,20020503,1427,1005176,141.97,7.91e-14,13.1,4
saint,20040326,649,723999,89.64,2.043e-06,5.69,0
saint,20070420,1429,736787,193.95,9.975e-22,21.0,0
saint,20151120,526,642428,81.88,1.96e-05,4.71,0
saint,20170908,521,582961,89.37,2.514e-06,5.6,0
saint,20240517,640,726060,88.15,3.14e-06,5.5,0
américaine,19450416,122,87678,139.15,5.821e-11,10.24,9
américaine,19500703,172,193256,89.0,1.978e-06,5.7,3
américaine,20010921,875,1271197,68.83,9.88e-05,4.01,0
américaine,20030321,669,632832,105.72,6.232e-09,8.21,3
américaine,20161111,486,692598,70.17,8.252e-05,4.08,0
force,19471225,86,92958,92.51,2.781e-09,8.56,8
force,19481007,99,153434,64.52,1.119e-05,4.95,1
force,19530217,101,163418,61.8,2.564e-05,4.59,0
force,19561112,242,254617,95.04,3.899e-12,11.41,4
force,19601019,198,220595,89.76,8.465e-11,10.07,1
force,19630525,183,283232,64.61,2.526e-06,5.6,2
force,19640211,246,314357,78.25,5.132e-09,8.29,2
force,19641202,287,315123,91.08,1.188e-11,10.93,5
force,19831026,231,413051,55.93,4.912e-05,4.31,0
force,19900822,169,282246,59.88,1.725e-05,4.76,1
force,20060728,269,313389,85.84,1.5e-10,9.82,3
rapport,19500222,175,181034,96.67,4.408e-08,7.36,0
rapport,19640928,258,321671,80.21,5.098e-06,5.29,0
rapport,19980918,423,482611,87.65,1.311e-07,6.88,0
rapport,20061208,333,433509,76.82,1.167e-05,4.93,0
directeur,19680102,234,311628,75.09,1.118e-05,4.95,0
directeur,19890105,248,359665,68.95,7.884e-05,4.1,0
directeur,19900420,203,294198,69.0,9.927e-05,4.0,0
directeur,19910719,265,331267,80.0,1.679e-06,5.77,1
directeur,19930411,344,483693,71.12,2.691e-05,4.57,1
directeur,19950720,217,314855,68.92,9.346e-05,4.03,0
directeur,19960713,346,414586,83.46,3.059e-07,6.51,1
directeur,19970329,692,802101,86.27,4.178e-08,7.38,0
directeur,19980103,587,411538,142.64,7.339e-19,18.13,2
directeur,19990103,462,447430,103.26,6.42e-11,10.19,1
directeur,20000107,509,503422,101.11,1.295e-10,9.89,1
directeur,20040220,475,577833,82.2,3.198e-07,6.5,0
économique,19460724,154,158242,97.32,5.13e-05,4.29,0
économique,19470705,175,135126,129.51,7.558e-08,7.12,2
sujet,19460416,63,102337,61.56,9.472e-05,4.02,0
sujet,20190614,461,643501,71.64,1.426e-07,6.85,1
région,19450107,78,77964,100.05,3.04e-07,6.52,2
région,19640630,246,303543,81.04,2.147e-06,5.67,0
région,19690329,345,417062,82.72,8.584e-07,6.07,2
région,19720426,294,404701,72.65,2.097e-05,4.68,0
région,19760506,363,524735,69.18,4.943e-05,4.31,0
région,20040319,452,625755,72.23,1.742e-05,4.76,0
région,20100312,427,589023,72.49,1.667e-05,4.78,0
