mot,date,X_t,N_t,f_t,p_t,surprise
cas,20200508,602,553513,108.76,1.216e-09,8.92
cas,20200515,524,547131,95.77,6.519e-07,6.19
cas,20200605,522,607044,85.99,3.725e-05,4.43
cas,20200626,519,618794,83.87,8.476e-05,4.07
cas,20200710,484,550883,87.86,1.964e-05,4.71
cas,20200717,417,464330,89.81,1.136e-05,4.94
cas,20200724,408,479851,85.03,7.293e-05,4.14
cas,20200814,374,416144,89.87,1.331e-05,4.88
cas,20200821,439,481170,91.24,5.905e-06,5.23
cas,20200828,483,533690,90.50,6.827e-06,5.17
cas,20200911,535,618072,86.56,2.895e-05,4.54
cas,20200918,569,658158,86.45,2.815e-05,4.55
cas,20211224,383,451729,84.79,8.673e-05,4.06
cas,20211231,677,539062,125.59,1.512e-13,12.82
cas,20220107,523,602252,86.84,2.661e-05,4.57
prendre,19580516,120,232009,51.72,2.911e-05,4.54
prendre,19580721,114,219991,51.82,3.609e-05,4.44
prendre,19680522,168,346177,48.53,4.865e-05,4.31
prendre,20200320,350,644636,54.29,6.701e-09,8.17
prendre,20200327,282,610219,46.21,4.514e-05,4.35
compte,20130405,506,645365,78.41,9.526e-11,10.02
guerre,19441222,233,80998,287.66,1.116e-08,7.95
guerre,19441230,212,80686,262.75,1.021e-07,6.99
guerre,19450107,224,77964,287.31,1.219e-08,7.91
guerre,19450116,150,55684,269.38,1.020e-07,6.99
guerre,19450124,138,61155,225.66,3.530e-06,5.45
guerre,19450201,185,74306,248.97,3.778e-07,6.42
guerre,19450209,191,73221,260.85,1.375e-07,6.86
guerre,19450217,182,74935,242.88,6.320e-07,6.20
guerre,19450226,210,75971,276.42,3.328e-08,7.48
guerre,19450306,216,86677,249.20,3.066e-07,6.51
guerre,19450314,138,74494,185.25,7.816e-05,4.11
guerre,19450322,152,73564,206.62,1.380e-05,4.86
guerre,19450330,228,94939,240.15,6.125e-07,6.21
guerre,19450407,158,74241,212.82,8.167e-06,5.09
guerre,19450416,217,87678,247.50,3.513e-07,6.45
guerre,19450424,182,89029,204.43,1.385e-05,4.86
guerre,19450503,193,93625,206.14,1.149e-05,4.94
guerre,19450511,315,97071,324.50,3.016e-10,9.52
guerre,19450519,195,74237,262.67,1.151e-07,6.94
guerre,19450528,214,85243,251.05,2.660e-07,6.58
guerre,19450605,222,103719,214.04,5.405e-06,5.27
guerre,19450613,144,73149,196.86,3.099e-05,4.51
guerre,19450716,205,112631,182.01,7.543e-05,4.12
guerre,19450724,210,91199,230.27,1.504e-06,5.82
