mot,total,jours_actifs,n_medias
refusé,362742,6809,36
critique,393349,6806,36
ouest,1225901,6808,36
mots,765818,6808,36
l'association,3923600,6808,36
michel,1915647,6809,36
sociales,440852,6808,36
beau,919719,6809,36
entreprise,794340,6804,36
journalistes,527607,6808,36
prison,1059247,6808,36
personnalités,318228,6803,36
petites,770344,6809,36
françois,2535098,6809,36
élevé,430438,6806,36
coopération,263960,6799,36
traité,223166,6794,36
revient,624188,6809,36
techniques,698780,6806,36
milieux,168387,6792,36
lignes,513076,6808,36
d'où,420384,6808,36
danger,487748,6809,36
franco,298525,6806,36
devenu,827385,6809,36
unique,692764,6809,36
devient,635355,6808,36
responsable,1488681,6809,36
députés,613897,6802,36
moindre,422285,6809,36
vérité,302311,6807,36
centrale,636771,6807,36
maire,3932378,6809,36
central,353194,6804,36
pose,535211,6808,36
arrivé,679442,6809,36
l'ouverture,726301,6809,36
minutes,1798089,6809,36
intérêt,292846,6806,36
province,266390,6808,36
organisation,379980,6807,36
vigueur,335879,6804,36
comprendre,660095,6809,36
fallait,588143,6809,36
poids,605431,6809,36
réserve,513238,6806,36
cents,142862,6791,36
semblent,305673,6805,36
l'air,624300,6809,36
pratique,899465,6808,36
britanniques,277655,6801,36
taux,1476066,6808,36
sinon,272931,6804,36
allemands,265267,6801,36
démocratie,381846,6806,36
cité,803129,6809,36
nation,230548,6797,36
ordre,221481,6797,36
noir,753695,6809,36
suivant,346010,6805,36
supérieur,405156,6804,36
défendre,474844,6809,36
attendre,500743,6809,36
indique,1262339,6809,36
type,829737,6809,36
connaître,791412,6809,36
chiffres,779205,6809,36
aide,744429,6808,36
réduire,643417,6808,36
habitants,1776670,6807,36
dépit,187953,6805,36
manifestation,735142,6805,36
assuré,827056,6809,36
réalisé,1000703,6809,36
croit,213462,6805,36
portée,430879,6805,36
ressources,454211,6806,36
montré,501013,6809,36
sérieux,382710,6809,36
rend,461490,6808,36
faible,490607,6809,36
faites,414265,6803,36
vouloir,464236,6808,36
proposé,870301,6809,36
accepté,354396,6807,36
remis,575702,6808,36
blanc,870491,6809,36
profit,435238,6808,36
meilleure,700029,6809,36
études,614314,6807,36
vivre,1139623,6809,36
camp,569378,6809,36
dehors,402647,6806,36
repris,576577,6808,36
prêt,713952,6809,36
réaliser,733107,6808,36
conduit,420868,6809,36
portant,343398,6809,36
tenue,507083,6806,36
paraît,246358,6806,36
sentiment,442538,6809,36
avions,548173,6807,36
numéro,758577,6809,36
trouvent,289888,6806,36
compter,758235,6809,36
résistance,307451,6803,36
parties,529988,6808,36
pleine,730840,6809,36
révolution,343704,6804,36
sortir,902142,6809,36
demain,994283,6809,36
hausse,1373902,6809,36
l'auteur,444528,6804,36
nommé,337677,6801,36
données,1027490,6802,36
bataille,407324,6809,36
l'école,2197817,6808,36
maintien,555507,6804,36
totale,392441,6807,36
activités,1411861,6808,36
georges,446757,6799,36
vente,1338631,6808,36
venus,759676,6809,36
andré,586869,6808,36
probablement,374809,6808,36
condamné,652840,6807,36
discussion,247582,6802,36
né,607348,6806,36
locaux,1502338,6809,36
manifestations,563267,6804,36
soirée,1999550,6809,36
l'évolution,364308,6801,36
entend,381272,6805,36
partisans,186488,6800,36
critiques,386658,6809,36
activité,870283,6807,36
rappelé,559719,6807,36
époque,364614,6803,36
conséquence,313036,6808,36
gouvernements,139421,6781,36
discussions,428099,6807,36
choisi,837469,6809,36
soumis,235313,6788,36
suisse,553506,6809,36
civile,457017,6806,36
faudra,710644,6809,36
gagner,897690,6809,36
montant,820601,6808,36
adopté,293675,6793,36
assure,1198408,6809,36
reconnu,575983,6806,36
prévue,676630,6809,36
avis,507714,6809,36
sol,766821,6809,36
culture,1227165,6808,36
changement,790392,6809,36
mauvais,485352,6809,36
mouvements,279325,6806,36
histoire,1136015,6809,36
essentiellement,328569,6801,36
prêts,452231,6808,36
lorsqu'il,366609,6809,36
respect,642508,6808,36
débats,397304,6806,36
s'étaient,355324,6806,36
quatrième,625711,6809,36
disposition,618402,6802,36
charles,658749,6808,36
conclu,349400,6804,36
l'entrée,684544,6809,36
faudrait,281412,6807,36
sociétés,463288,6804,36
l'absence,470235,6809,36
provoqué,321206,6807,36
opération,746230,6809,36
revenir,736231,6809,36
protection,913091,6809,36
tâche,223123,6808,36
commence,600021,6809,36
jeunesse,724799,6808,36
comprend,358398,6803,36
besoins,566452,6800,36
précédent,454186,6809,36
montrer,606283,6809,36
frontière,361658,6804,36
travailleurs,276130,6800,36
frais,726100,6808,36
l'origine,642201,6809,36
soldats,429030,6807,36
figure,576998,6809,36
lumière,615003,6809,36
sociaux,1340207,6807,36
bilan,1016085,6809,36
augmentation,449837,6797,36
élu,638805,6808,36
connaissance,412102,6800,36
centaines,580265,6809,36
familles,1273768,6809,36
soutien,1445564,6809,36
chance,805406,6809,36
importants,371573,6807,36
marche,970157,6809,36
socialistes,235479,6792,35
réduction,462672,6806,36
répondu,630617,6807,36
livres,671755,6806,36
estiment,252815,6801,36
financière,578991,6806,36
appelé,670835,6809,36
contact,1248001,6808,36
article,484136,6802,36
blanche,672775,6809,36
vaste,330722,6806,36
explique,3353376,6809,36
devaient,254481,6808,36
roi,436296,6805,36
enquête,968046,6809,36
signe,593180,6809,36
grève,514628,6799,36
moderne,263406,6803,36
souhaite,841417,6809,36
l'université,601660,6807,36
attendant,521849,6809,36
procédure,559715,6802,36
accords,192069,6787,36
d'europe,565091,6809,36
l'équipe,2696132,6809,36
tirer,333808,6809,36
aussitôt,199578,6808,36
publiques,562882,6807,36
retrouver,1204446,6809,36
parlementaire,272325,6791,36
l'institut,496609,6805,36
experts,376761,6805,36
désir,197271,6805,36
musique,1730514,6809,36
privé,564052,6809,36
d'ici,1043104,6809,36
clair,504131,6808,36
rappeler,390455,6806,36
quartier,1280325,6809,36
rythme,627511,6809,36
quitter,520484,6808,36
revenu,533068,6809,36
idée,486372,6809,36
banque,949665,6809,36
mode,805148,6809,36
l'éducation,452843,6795,36
