mot,cle,jours_actifs,total
cinquante,cinquante,25528,199453
passage,passage,25526,180869
poursuit,poursuit,25526,144364
américaines,americaines,25519,164935
siège,siege,25518,171486
juge,juge,25517,257475
officiel,officiel,25515,125711
gros,gros,25514,174779
femmes,femmes,25513,411653
l'idée,l'idee,25513,218000
déclare,declare,25513,159943
ouvert,ouvert,25508,172737
actuelle,actuelle,25507,136298
douze,douze,25497,172341
l'agence,l'agence,25497,227534
nécessaires,necessaires,25496,127630
l'esprit,l'esprit,25496,139066
condition,condition,25495,138705
vite,vite,25495,222557
vraiment,vraiment,25493,198001
possibilité,possibilite,25489,152088
l'industrie,l'industrie,25477,198857
l'accord,l'accord,25474,193612
reprise,reprise,25474,173651
aller,aller,25473,193705
derrière,derriere,25472,204428
recherche,recherche,25470,379871
opérations,operations,25470,158056
perdu,perdu,25465,184288
l'allemagne,l'allemagne,25457,216279
août,aout,25447,444528
milieu,milieu,25433,210063
menace,menace,25432,159198
conséquences,consequences,25432,159427
constitue,constitue,25431,136166
réussi,reussi,25429,148924
palais,palais,25427,161393
pouvoirs,pouvoirs,25421,175093
entendre,entendre,25419,126831
projets,projets,25408,193113
laisse,laisse,25408,143752
cabinet,cabinet,25405,175687
éviter,eviter,25403,154840
fils,fils,25402,221894
salle,salle,25402,185112
montre,montre,25401,177520
met,met,25398,196666
troupes,troupes,25397,158804
fonds,fonds,25387,320345
l'opinion,l'opinion,25385,145315
indiqué,indique,25382,219438
réforme,reforme,25379,309448
bout,bout,25372,187463
responsables,responsables,25370,275381
auquel,auquel,25369,121551
victimes,victimes,25369,224625
allemagne,allemagne,25366,161997
devoir,devoir,25364,124992
sûr,sur,25361,208856
parle,parle,25357,166056
budget,budget,25357,263891
théâtre,theatre,25356,256071
vieux,vieux,25353,165014
européens,europeens,25352,269755
répondre,repondre,25351,156573
lendemain,lendemain,25347,150418
différentes,differentes,25347,149984
devra,devra,25346,134020
rouge,rouge,25340,184900
tribunal,tribunal,25336,248171
arrêté,arrete,25336,124877
reprendre,reprendre,25335,123236
déclarations,declarations,25333,128943
décisions,decisions,25333,143660
communauté,communaute,25323,276583
combat,combat,25322,156751
armes,armes,25320,164931
moscou,moscou,25318,246502
front,front,25318,227724
fonction,fonction,25316,219336
maintenir,maintenir,25307,119169
meilleur,meilleur,25307,159530
moitié,moitie,25296,188232
courant,courant,25294,127984
largement,largement,25293,176279
père,pere,25291,309015
train,train,25286,186075
veulent,veulent,25285,166680
officiellement,officiellement,25282,117489
bord,bord,25281,157507
actuel,actuel,25279,124143
propres,propres,25275,145380
assurer,assurer,25272,116439
officielle,officielle,25270,121313
santé,sante,25270,343765
suivre,suivre,25265,122266
ailleurs,ailleurs,25265,285942
professeur,professeur,25262,210932
souligné,souligne,25257,127584
morts,morts,25254,220473
progrès,progres,25253,157395
laissé,laisse,25252,123495
mains,mains,25250,131150
directement,directement,25247,138922
existe,existe,25247,155600
lancé,lance,25246,210130
principal,principal,25235,157703
d'accord,d'accord,25231,116725
belle,belle,25228,154906
chiffre,chiffre,25220,204317
seine,seine,25217,193791
venu,venu,25214,130219
delà,dela,25213,201304
devenir,devenir,25207,184913
propose,propose,25204,183610
impossible,impossible,25203,119844
évidemment,evidemment,25202,120168
ouverte,ouverte,25201,127087
immédiatement,immediatement,25195,105849
procès,proces,25192,224984
anglais,anglais,25188,146850
villes,villes,25188,193766
souligne,souligne,25188,196126
