mot,date,X_t,N_t,f_t,p_t,surprise,n_absorbes
seulement,20080504,231,667799,34.59,6.505053e-05,4.1867,0
seulement,20080928,237,674726,35.13,3.029319e-05,4.5187,0
seulement,20231124,1621,5020755,32.29,1.299756e-05,4.8861,0
seulement,20260816,525,1607280,32.66,5.536429e-05,4.2568,0
pouvoir,20080108,591,1001415,59.02,4.744346e-06,5.3238,1
pouvoir,20080425,469,846729,55.39,4.578149e-05,4.3393,0
pouvoir,20081224,336,587251,57.22,2.62029e-05,4.5817,0
pouvoir,20110212,1111,2060008,53.93,5.64893e-05,4.248,0
française,20080814,459,738792,62.13,4.096865e-10,9.3875,12
française,20240727,2601,4315593,60.27,1.772049e-10,9.7515,3
unis,20081106,1396,1144921,121.93,3.097658e-12,11.509,1
unis,20110808,1165,1604159,72.62,3.629205e-05,4.4402,0
unis,20161109,4127,4316866,95.6,2.010848e-08,7.6966,0
unis,20250120,3613,4730726,76.37,1.011636e-05,4.995,1
unis,20260301,3228,3916416,82.42,1.552632e-06,5.8089,1
unis,20260819,461,641677,71.84,6.149587e-05,4.2112,0
nombre,20200329,2348,3215636,73.02,4.040646e-09,8.3935,17
déclaré,20080913,333,613884,54.24,6.497645e-05,4.1872,0
déclaré,20110724,852,1583344,53.81,3.71387e-05,4.4302,0
déclaré,20120507,1161,2213268,52.46,6.779758e-05,4.1688,2
déclaré,20260819,344,641677,53.61,8.57598e-05,4.0667,0
travail,20120501,1852,2125626,87.13,4.917133e-06,5.3083,0
travail,20160525,4830,4529915,106.62,1.334712e-10,9.8746,6
travail,20170607,4187,4636121,90.31,8.269913e-07,6.0825,2
travail,20170911,3427,4057378,84.46,1.358672e-05,4.8669,0
situation,20200320,3541,4196731,84.38,7.520447e-11,10.1238,12
situation,20201028,2750,4778576,57.55,4.342042e-05,4.3623,0
presse,20080108,512,1001415,51.13,2.290635e-08,7.64,1
presse,20080528,452,1099946,41.09,4.161235e-05,4.3808,0
presse,20081001,520,1148170,45.29,1.89143e-06,5.7232,6
presse,20100620,615,1517347,40.53,4.781232e-05,4.3205,0
presse,20120615,1532,3507278,43.68,2.971363e-06,5.527,0
presse,20140115,2149,4206315,51.09,5.713243e-09,8.2431,0
presse,20150107,2276,4215536,53.99,4.228368e-10,9.3738,2
presse,20190425,1917,4771497,40.18,3.829278e-05,4.4169,0
dernière,20090818,779,1364350,57.1,8.249405e-05,4.0836,0
dernière,20100726,994,1741674,57.07,6.699523e-05,4.174,1
parti,20081124,774,886136,87.35,1.783418e-06,5.7487,3
parti,20090607,1622,1391917,116.53,6.118541e-10,9.2134,0
parti,20120507,1906,2213268,86.12,1.988407e-06,5.7015,0
parti,20140527,3658,4220151,86.68,1.608088e-06,5.7937,1
parti,20150323,3256,3862183,84.3,2.991557e-06,5.5241,0
parti,20151206,2593,3393135,76.42,2.222137e-05,4.6532,0
parti,20170610,3031,3629963,83.5,3.697127e-06,5.4321,1
parti,20190525,3755,4178848,89.86,7.015786e-07,6.1539,1
parti,20240609,4157,4229932,98.28,7.451724e-08,7.1277,1
conseil,20080323,1439,611322,235.39,8.683863e-15,14.0613,2
conseil,20140331,4624,3776429,122.44,1.721481e-05,4.7641,0
conseil,20260322,5680,4464411,127.23,7.414955e-06,5.1299,0
hommes,20080210,536,847610,63.24,2.268849e-10,9.6442,1
hommes,20080817,280,562569,49.77,5.824131e-06,5.2348,1
hommes,20140307,1626,3757599,43.27,8.317003e-05,4.08,0
hommes,20180307,2574,5245630,49.07,1.645486e-06,5.7837,0
hommes,20190308,2093,4228260,49.5,1.288139e-06,5.89,0
hommes,20240805,2261,5069284,44.6,3.360011e-05,4.4737,0
suite,20110516,667,1691706,39.43,2.248539e-05,4.6481,0
suite,20151115,1353,3400511,39.79,4.130496e-06,5.384,1
suite,20220611,2050,5239233,39.13,7.087204e-06,5.1495,0
ci,20080108,393,1001415,39.24,5.260975e-06,5.2789,2
jean,20080323,1578,611322,258.13,2.734467e-09,8.5631,2
jean,20140331,7390,3776429,195.69,7.258117e-06,5.1392,0
porte,20080102,319,611214,52.19,1.805758e-06,5.7433,0
porte,20081227,270,481261,56.1,1.470441e-07,6.8326,3
porte,20110320,1024,1922389,53.27,5.148895e-08,7.2883,2
porte,20150110,1969,3152798,62.45,6.283512e-13,12.2018,1
soir,20151115,4729,3400511,139.07,7.606221e-08,7.1188,0
début,20191230,3718,3059852,121.51,8.131769e-10,9.0898,10
début,20200501,4896,3651418,134.08,3.484347e-12,11.4579,23
début,20200823,3954,3189046,123.99,2.84865e-10,9.5454,7
début,20210502,3470,3458526,100.33,2.908881e-06,5.5363,0
début,20260813,5018,3719660,134.9,2.407808e-12,11.6184,0
l'un,20151115,1500,3400511,44.11,2.493007e-11,10.6033,0
l'un,20160727,1526,3903216,39.1,4.561925e-07,6.3409,0
millions,20080730,1378,780972,176.45,5.308243e-08,7.275,7
millions,20081215,1149,813814,141.19,1.653489e-05,4.7816,0
droit,20080320,527,1171728,44.98,6.463887e-06,5.1895,0
droit,20220626,1704,3821492,44.59,3.590913e-06,5.4448,0
vingt,20080618,261,1131134,23.07,1.281647e-05,4.8922,5
