media_a,media_b,annee,tranche,n,echo
lefigaro,lemonde,2021,1,214,55
lefigaro,lemonde,2021,2,134,46
lefigaro,lemonde,2021,3,115,38
lefigaro,lemonde,2022,0,643,148
lefigaro,lemonde,2022,1,254,87
lefigaro,lemonde,2022,2,147,59
lefigaro,lemonde,2022,3,122,49
lefigaro,lemonde,2023,0,648,117
lefigaro,lemonde,2023,1,233,46
lefigaro,lemonde,2023,2,171,46
lefigaro,lemonde,2023,3,110,25
lefigaro,lemonde,2024,0,93,16
lefigaro,lemonde,2024,1,32,6
lefigaro,lemonde,2024,2,33,9
lefigaro,lemonde,2024,3,15,3
lefigaro,ouestfrance,2004,0,14,0
lefigaro,ouestfrance,2004,1,7,0
lefigaro,ouestfrance,2004,2,16,0
lefigaro,ouestfrance,2004,3,11,0
lefigaro,ouestfrance,2005,0,121,0
lefigaro,ouestfrance,2005,1,51,0
lefigaro,ouestfrance,2005,2,75,0
lefigaro,ouestfrance,2005,3,90,0
lefigaro,ouestfrance,2006,0,1270,0
lefigaro,ouestfrance,2006,1,582,0
lefigaro,ouestfrance,2006,2,407,0
lefigaro,ouestfrance,2006,3,261,0
lefigaro,ouestfrance,2007,0,1663,9
lefigaro,ouestfrance,2007,1,725,4
lefigaro,ouestfrance,2007,2,539,5
lefigaro,ouestfrance,2007,3,332,1
lefigaro,ouestfrance,2008,0,1715,172
lefigaro,ouestfrance,2008,1,692,99
lefigaro,ouestfrance,2008,2,470,77
lefigaro,ouestfrance,2008,3,289,76
lefigaro,ouestfrance,2009,0,1376,297
lefigaro,ouestfrance,2009,1,584,128
lefigaro,ouestfrance,2009,2,387,104
lefigaro,ouestfrance,2009,3,313,76
lefigaro,ouestfrance,2010,0,964,207
lefigaro,ouestfrance,2010,1,346,97
lefigaro,ouestfrance,2010,2,267,64
lefigaro,ouestfrance,2010,3,240,73
lefigaro,ouestfrance,2011,0,898,209
lefigaro,ouestfrance,2011,1,364,109
lefigaro,ouestfrance,2011,2,300,99
lefigaro,ouestfrance,2011,3,222,102
lefigaro,ouestfrance,2012,0,919,154
lefigaro,ouestfrance,2012,1,353,81
lefigaro,ouestfrance,2012,2,235,60
lefigaro,ouestfrance,2012,3,165,54
lefigaro,ouestfrance,2013,0,788,68
lefigaro,ouestfrance,2013,1,323,41
lefigaro,ouestfrance,2013,2,178,37
lefigaro,ouestfrance,2013,3,110,26
lefigaro,ouestfrance,2014,0,628,89
lefigaro,ouestfrance,2014,1,244,42
lefigaro,ouestfrance,2014,2,194,41
lefigaro,ouestfrance,2014,3,119,38
lefigaro,ouestfrance,2015,0,688,97
lefigaro,ouestfrance,2015,1,292,64
lefigaro,ouestfrance,2015,2,217,68
lefigaro,ouestfrance,2015,3,170,58
lefigaro,ouestfrance,2016,0,666,88
lefigaro,ouestfrance,2016,1,276,49
lefigaro,ouestfrance,2016,2,189,55
lefigaro,ouestfrance,2016,3,152,67
lefigaro,ouestfrance,2017,0,775,91
lefigaro,ouestfrance,2017,1,270,63
lefigaro,ouestfrance,2017,2,187,58
lefigaro,ouestfrance,2017,3,145,59
lefigaro,ouestfrance,2018,0,728,117
lefigaro,ouestfrance,2018,1,267,56
lefigaro,ouestfrance,2018,2,179,52
lefigaro,ouestfrance,2018,3,137,46
lefigaro,ouestfrance,2019,0,658,105
lefigaro,ouestfrance,2019,1,240,57
lefigaro,ouestfrance,2019,2,190,60
lefigaro,ouestfrance,2019,3,169,59
lefigaro,ouestfrance,2020,0,745,205
lefigaro,ouestfrance,2020,1,290,100
lefigaro,ouestfrance,2020,2,226,87
lefigaro,ouestfrance,2020,3,135,54
lefigaro,ouestfrance,2021,0,613,121
lefigaro,ouestfrance,2021,1,213,45
lefigaro,ouestfrance,2021,2,133,47
lefigaro,ouestfrance,2021,3,116,41
lefigaro,ouestfrance,2022,0,605,123
lefigaro,ouestfrance,2022,1,229,55
lefigaro,ouestfrance,2022,2,134,45
lefigaro,ouestfrance,2022,3,116,46
lefigaro,ouestfrance,2023,0,605,84
lefigaro,ouestfrance,2023,1,217,51
lefigaro,ouestfrance,2023,2,169,41
lefigaro,ouestfrance,2023,3,105,16
lefigaro,ouestfrance,2024,0,90,19
lefigaro,ouestfrance,2024,1,32,6
lefigaro,ouestfrance,2024,2,26,12
lefigaro,ouestfrance,2024,3,14,4
lefigaro,mediapart,2008,0,1317,57
lefigaro,mediapart,2008,1,530,22
lefigaro,mediapart,2008,2,360,19
lefigaro,mediapart,2008,3,219,14
lefigaro,mediapart,2009,0,1345,58
lefigaro,mediapart,2009,1,534,27
lefigaro,mediapart,2009,2,360,21
lefigaro,mediapart,2009,3,296,20
lefigaro,mediapart,2010,0,925,33
lefigaro,mediapart,2010,1,346,31
lefigaro,mediapart,2010,2,247,21
lefigaro,mediapart,2010,3,222,20
lefigaro,mediapart,2011,0,912,61
lefigaro,mediapart,2011,1,390,27
lefigaro,mediapart,2011,2,320,30
lefigaro,mediapart,2011,3,235,39
lefigaro,mediapart,2012,0,900,45
lefigaro,mediapart,2012,1,345,38
lefigaro,mediapart,2012,2,224,29
lefigaro,mediapart,2012,3,164,23
lefigaro,mediapart,2013,0,807,47
lefigaro,mediapart,2013,1,313,23
lefigaro,mediapart,2013,2,163,16
lefigaro,mediapart,2013,3,111,17
lefigaro,mediapart,2014,0,670,64
lefigaro,mediapart,2014,1,264,30
lefigaro,mediapart,2014,2,211,35
lefigaro,mediapart,2014,3,123,27
lefigaro,mediapart,2015,0,740,51
lefigaro,mediapart,2015,1,310,30
lefigaro,mediapart,2015,2,243,31
lefigaro,mediapart,2015,3,183,35
lefigaro,mediapart,2016,0,726,50
lefigaro,mediapart,2016,1,282,22
lefigaro,mediapart,2016,2,191,29
lefigaro,mediapart,2016,3,161,23
lefigaro,mediapart,2017,0,786,53
lefigaro,mediapart,2017,1,297,25
lefigaro,mediapart,2017,2,197,27
lefigaro,mediapart,2017,3,143,30
lefigaro,mediapart,2018,0,702,52
lefigaro,mediapart,2018,1,276,23
lefigaro,mediapart,2018,2,180,31
lefigaro,mediapart,2018,3,134,29
lefigaro,mediapart,2019,0,672,41
lefigaro,mediapart,2019,1,256,25
lefigaro,mediapart,2019,2,202,27
